Manufacturer,,Category,Product name ,Application,Feature/Benefit,Title,Desc,Keywords
ViGteQnos,MIKI USA Inventory,Lens Manufacturing,TP-7574-NS,Edging Pad,Designed for super hydrophobic lenses. Good performance for preventing angle twisting of various eyeglass lens after edging. Significantly reduces slipping angle for all lens materials. Leaves no adhesive residue. Ideal for wax blocking and for edging lensses with small vertical segments.,Notched Clear Riki Pads - Sheet,"PET film single-coated PSA tape for eyeglass lens edging. Rikipad TP-7574 was developed as fixing material for edging eyeglass lens. The Riki Pad is a PREMIUM GRADE Intermediary Film Pad (IFP) that reduces slippage while edging Hydrophobic-Coated Lenses. The Riki Pad is a TOP-PERFORMING pad that adheres to all slick top coatings. This unique adhesive found on the Riki Pad, bonds so effectively because it was created by the makers of Hydrophobic Coating. The adhesive side of the clear, thin Riki Film Pad is placed on the lens surface, and the Blocking Pad is attached on top of the IFP. After edging, removing the Riki Pad is EASY and clean. Using the Riki Pad / Intermediary Film Pad has proven to be the most effective way to protect your expensive lenses.",
,MIKI USA Inventory,Lens Manufacturing,TP-7574-NR,Edging Pad,Designed for super hydrophobic lenses. Good performance for preventing angle twisting of various eyeglass lens after edging. Significantly reduces slipping angle for all lens materials. Leaves no adhesive residue. Ideal for wax blocking and for edging lensses with small vertical segments.,Notched Clear Riki Pads - Roll,"PET film single-coated PSA tape for eyeglass lens edging. Rikipad TP-7574 was developed as fixing material for edging eyeglass lens. The Riki Pad is a PREMIUM GRADE Intermediary Film Pad (IFP) that reduces slippage while edging Hydrophobic-Coated Lenses. The Riki Pad is a TOP-PERFORMING pad that adheres to all slick top coatings. This unique adhesive found on the Riki Pad, bonds so effectively because it was created by the makers of Hydrophobic Coating. The adhesive side of the clear, thin Riki Film Pad is placed on the lens surface, and the Blocking Pad is attached on top of the IFP. After edging, removing the Riki Pad is EASY and clean. Using the Riki Pad / Intermediary Film Pad has proven to be the most effective way to protect your expensive lenses.",
,MIKI USA Inventory,Lens Manufacturing,RIKI 16JS,Blocking Pad,Designed for super hydrophobic lenses. Leaves no adhesive residue. Safe on all major coating and lens materials. Can be used on coated and uncoated lenses.,Blocking Pad for super hydrophobic lenses, Single step edge blocking. This hydrophobic-specific blocking pad uses a reinforcing layer designed so that the product will not twist during edging. This reduces the possibility of axis slippage and the expense related to those lost jobs.  The proprietary adhesive technology used allows the product to be removed cleanly from the lens after use to allow users to stock just one blocking pad for all jobs.,
,,Lens Manufacturing,TP-7673 ,Surface tape,"Linerless. Leaves no adhesive residue. Less waste, space, shipping cost, downtime compared to conventional tape.",Linerless surface tape,Linerless masking tape for eyeglass lens polishing,
Itoh Optical ,,Coatings - Lens Varnish,Z-117,Hard Coating Varnish - High RI,Excellent adhesion with various kinds of high index lenses. Superb surface hardness suitable as hard coat for anti-reflection (AR) coating.,Hard Coating Varnish for High RI opthalmic lenses,Z-117 is a hard coating varnish developed for high RI opthalmic lenses with an RI of between 1.57-1.61. Its main component is thermoset silicone resin. ,
,,Coating - Lens Varnish,LH-3H,Hard Coating Varnish - Middle RI ,Excellent adhesion with various kinds of medium index lenses. Superb surface hardness suitable as hard coat for anti-reflection (AR) coating.,Hard Coating Varnish for Medium RI opthalmic lenses,LH-3 (H-type) is a hard coating varnish developed for medium RI opthalmic lenses with an RI of between 1.57-1.61. Its main component is thermoset silicone resin. ,
Canon Optron ,,Coatings - Hydrophobic,Surfclear-300 ,Evaporation coating material,"Water and Oil repellent coating. Provides stable water and oil repellency even outdoors. Significantly lower degradation due to salt damage. Highly resistant to acids, alkalis, and other chemicals. Fingerprints and other oily contaminants wipe off easily. Difficult to scratch",Durable super hydrophobic coating,"This fluorine coating material repel water and oily residues. Benefits: Lowers adhesion of contaminants, improves ease of contaminant removal, protects against scratches, etc.",Water and oil repellent. Resistant to scratch. High Durability. High Transparency.
,,Coatings - Hydrophobic,Surfclear-100 ,Evaporation coating material,Water and Oil repellent coating. Water drops run off easily. Fingerprints and other oily contaminants wipe off easily. Difficult to scratch.,Super hydrophobic coating,"This fluorine coating material repel water and oily residues. Benefits: Lowers adhesion of contaminants, improves ease of contaminant removal, protects against scratches, etc.",
,,Coatings - Hydrophobic,OR-510,Evaporation coating material,PFAs free Water and Oil repellent coating ,Fluorine free hydrophobic coating,"This is a fluorine-free coating that enables easy water removal.
In response to social demand, we have developed a coating material that does not utilize fluorine (PFAS).",
Takara ,,Lens Manufacturing,TT-55,Lens molding tape,"High Index. TT Series tapes adopts an ultra-high performance barrier film with water vapor transmission rate (WVTR) of 0.3% or less, which solves the bubble phenomenon. The latest developed special catalyst can solve the white turbidity phenomenon.",,"A series of silicone tapes, especially developed for high refractive lens molding. Silicone adhesive. Film is PET.",
,,Lens Manufacturing,TL-3,Lens molding tape,"Low/Middle Index. TT Series tapes adopts an ultra-high performance barrier film with water vapor transmission rate (WVTR) of 0.3% or less, which solves the bubble phenomenon. The latest developed special catalyst can solve the white turbidity phenomenon.",,"A series of silicone tapes, especially developed for high refractive lens molding. Acrylic adhesive. Film is OPP",
Sumika Polycarbonate Ltd,,Polymer,RD24-083-3,Optical lens resin,,Polycarbonate for High Index (Developmental product),,
